Platform,Type,MIPIOPTION,EDPOPTION,Display1_PortB,Display2_PortC,Display3_PortD,Display4_PortE,SELECTMIPI
HSW-BDW,DT,NA,No_Device-eDP-eDP_DRRS,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,No_Device-DP-DP_Only-HDMI-Dvi_Only,NA,NO
IVB,MB,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
IVB,DT,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
SNB,MB,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
SNB,DT,NA,No_Device-eDP-LVDS,NA,NA,NA,NA,NO
VLV,BYT-CR,NA,NA,NA,NA,NA,NA,YES
VLV,FFRD-ANDROID,NA,NA,NA,NA,NA,NA,YES
VLV,BBY,NA,NA,NA,NA,NA,NA,YES
VLV,BBY-HG,NA,NA,NA,NA,NA,NA,YES
VLV,BLK,NA,NA,NA,NA,NA,NA,YES
